fichier,label_reel,prediction,image_path,resultat_complet,correct
2.jpg,droit,tournant,..\images\2.jpg,"{'est_escalier': True, 'masque_escalier': array([[255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [139, 148, 161],
        ...,
        [164, 168, 157],
        [  0, 255,   0],
        [  0, 255,   0]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'tournant', 'metriques': {'ecart_type_angles': 10.635816102026181, 'variation_centres': 0.3818158122092411, 'angles': [-3.9808004427499277, 14.996198285732827, 1.9689829338646887, -7.99874046086897, 15.978726775297405, 2.010272976815667, -12.001975166087027, 16.00501067445028, 15.969321478199316, 15.975396829960856], 'longueurs': [2103.0739406877733, 1766.1497671488678, 1658.9795055997527, 1480.402647930623, 1416.7370962885104, 1396.8596923098612, 1380.1699170754302, 1320.1730947114472, 1315.7769567825696, 1311.6562049561614]}}",False
10.jpg,droit,droit,..\images\10.jpg,"{'est_escalier': True, 'masque_escalier': array([[255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [168, 179, 187],
        ...,
        [188, 204, 210],
        [  0, 255,   0],
        [  0, 255,   0]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'droit', 'metriques': {'ecart_type_angles': 1.0022295906097651, 'variation_centres': 0.03290953694916431, 'angles': [10.004767434349331, 9.982266449857578, 9.97980019278561, 9.989727982689342, 11.975272908664135, 12.009667406547058, 12.005429167722319, 10.000683764359536, 12.007250175597907, 11.981154953308206], 'longueurs': [2066.423480315688, 2065.2651161533718, 2002.2969310269643, 2000.3272232312393, 1976.0032894709461, 1975.2328976604254, 1971.1123762992306, 1819.648317670203, 1692.019207928799, 1690.8332265483784]}}",True
11.jpg,droit,droit,..\images\11.jpg,"{'est_escalier': True, 'masque_escalier': array([[  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[ 81,  94, 102],
        [ 80,  93, 101],
        [ 78,  91,  99],
        ...,
        [ 18,  14,   9],
        [ 18,  14,   9],
        [ 18,  14,   9]],

       [[ 81,  94, 102],
        [ 80,  93, 101],
        [ 78,  91,  99],
        ...,
        [ 18,  14,   9],
        [ 18,  14,   9],
        [ 18,  14,   9]],

       [[ 81,  94, 102],
        [ 80,  93, 101],
        [ 78,  91,  99],
        ...,
        [ 18,  14,   9],
        [ 18,  14,   9],
        [ 18,  14,   9]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'droit', 'metriques': {'ecart_type_angles': 5.743372132877442, 'variation_centres': 0.08120414720711178, 'angles': [-2.996641025954133, -22.979640422756063, -22.979640422756063, -23.000113277218873, -23.005155125977073, -20.964977109728387, -21.00110964562246, -21.02229787206655, -20.99425494470647, -20.99708524468528], 'longueurs': [1492.040213935268, 1408.7970045396887, 1408.7970045396887, 1402.4924242219636, 1361.2615472421162, 1361.1061677914768, 1356.079643678792, 1351.9870561510565, 1331.3819887620532, 1322.838236520248]}}",True
12.jpg,droit,tournant,..\images\12.jpg,"{'est_escalier': True, 'masque_escalier': array([[  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[211, 227, 234],
        [212, 228, 235],
        [213, 229, 236],
        ...,
        [179, 211, 224],
        [179, 211, 224],
        [179, 211, 224]],

       [[212, 228, 235],
        [213, 229, 236],
        [213, 229, 236],
        ...,
        [179, 211, 224],
        [179, 211, 224],
        [179, 211, 224]],

       [[214, 230, 237],
        [214, 230, 237],
        [214, 230, 237],
        ...,
        [179, 211, 224],
        [179, 211, 224],
        [179, 211, 224]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'tournant', 'metriques': {'ecart_type_angles': 18.405650186930668, 'variation_centres': 0.15621386378300667, 'angles': [1.0055627033939378, 1.0164769146011272, 0.9866973587198035, -28.994814773795017, -25.997784767220054, -28.982696783023698, -29.00770245766289, -28.99321707701731, -28.991531648240073, 24.025231573015716], 'longueurs': [2108.3246903643662, 2029.319344016609, 1858.275544691906, 1582.3226598895687, 1580.9775456975979, 1547.8423692353172, 1542.499594813561, 1541.1401623473448, 1499.9576660692794, 1483.5231713727967]}}",False
13.jpg,droit,droit,..\images\13.jpg,"{'est_escalier': True, 'masque_escalier': array([[255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [113, 125, 135],
        ...,
        [112, 114, 114],
        [  0, 255,   0],
        [  0, 255,   0]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'droit', 'metriques': {'ecart_type_angles': 6.129058644188352, 'variation_centres': 0.18051086176081932, 'angles': [5.973577796125093, 6.992832528331373, 6.976467607260844, 7.016501744722909, 5.995386804075463, 5.969804305805807, 5.984952315115409, 3.0075786391248323, -13.980157559873359, 6.975475131194932], 'longueurs': [1777.6526657364761, 1774.1975650980924, 1770.1056465646336, 1768.2423476435577, 1761.635603636575, 1759.5422700236559, 1745.5142508727909, 1734.388941385409, 1734.373085584529, 1663.3114561019534]}}",True
14.jpg,droit,droit,..\images\14.jpg,"{'est_escalier': True, 'masque_escalier': array([[255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [130, 136, 135],
        ...,
        [113, 113, 113],
        [  0, 255,   0],
        [  0, 255,   0]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'droit', 'metriques': {'ecart_type_angles': 1.8349149350017868, 'variation_centres': 0.11395567514700752, 'angles': [-7.998990959408769, -7.99215130568537, -7.9949943650895285, -7.003301760884117, -6.982010676210753, -4.005112254279746, -4.005112254279746, -3.981628769396626, -3.981628769396626, -8.006914453906214], 'longueurs': [2472.0517793929803, 2466.961288711276, 2458.8999572979783, 2452.29627084494, 2435.0574941877658, 2433.944124255937, 2433.944124255937, 2433.874483205738, 2433.874483205738, 2433.7257446146227]}}",True
15.jpg,droit,droit,..\images\15.jpg,"{'est_escalier': True, 'masque_escalier': array([[255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [119,  89,  84],
        ...,
        [105, 133, 144],
        [  0, 255,   0],
        [  0, 255,   0]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'droit', 'metriques': {'ecart_type_angles': 2.124442557555662, 'variation_centres': 0.19160926585803595, 'angles': [-1.00376553188831, -1.00376553188831, -0.9913580813463406, -0.9992436702572906, -0.9786028687340936, 1.022016498785894, -0.9793196543394875, -1.012858537843304, -0.9776487850298482, 6.022837582685403], 'longueurs': [2283.350389230702, 2283.350389230702, 2196.3287549909282, 2064.313929614389, 2049.2989045036843, 2018.3210844659975, 1872.2734842965651, 1810.282850827461, 1758.2559540635714, 1734.574587615073]}}",True
16.jpg,tournant,tournant,..\images\16.jpg,"{'est_escalier': True, 'masque_escalier': array([[  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0],
       ...,
       [  0,   0,   0, ..., 255, 255, 255],
       [  0,   0,   0, ..., 255, 255, 255],
       [  0,   0,   0, ..., 255, 255, 255]], dtype=uint8), 'image_classification': array([[[215, 243, 254],
        [215, 243, 254],
        [215, 243, 254],
        ...,
        [190, 195, 226],
        [189, 194, 225],
        [189, 194, 225]],

       [[215, 243, 254],
        [215, 243, 254],
        [215, 243, 254],
        ...,
        [190, 195, 226],
        [189, 194, 225],
        [189, 194, 225]],

       [[215, 243, 254],
        [215, 243, 254],
        [215, 243, 254],
        ...,
        [190, 195, 226],
        [189, 194, 225],
        [189, 194, 225]],

       ...,

       [[ 94, 118, 172],
        [ 93, 117, 171],
        [ 93, 117, 171],
        ...,
        [143, 135, 158],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[ 91, 115, 169],
        [ 91, 115, 169],
        [ 90, 114, 168],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[ 89, 113, 167],
        [ 89, 113, 167],
        [ 88, 112, 166],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'tournant', 'metriques': {'ecart_type_angles': 11.073588737877014, 'variation_centres': 0.06675864248291231, 'angles': [-5.9777735923606565, -6.040565182897268, -2.961976494767073, -5.993191500398726, -6.018534608581314, -6.012312500629883, -6.0123836489079965, -29.96076490045269, -29.996667769688447, -29.00313863664609], 'longueurs': [960.2213286529309, 950.2762756167282, 948.2668400824738, 948.1824718903002, 944.2044270177936, 906.9889745746638, 887.8840014326196, 822.9763058557639, 762.0767677865531, 756.923377892373]}}",True
17.jpg,droit,tournant,..\images\17.jpg,"{'est_escalier': True, 'masque_escalier': array([[255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [114, 103,  89],
        ...,
        [224, 241, 238],
        [  0, 255,   0],
        [  0, 255,   0]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'tournant', 'metriques': {'ecart_type_angles': 10.239258677874458, 'variation_centres': 1.2635207804004243, 'angles': [-1.031083812241132, 29.98817401520708, -1.0126987134134342, -0.9572954024374144, 0.0, 0.0, -1.0534104754249034, -7.010069653828143, -7.010069653828143, -7.010069653828143], 'longueurs': [889.1439703445106, 876.3133001387118, 792.1237277092513, 778.1086042449344, 763.0, 718.0, 707.1195089940596, 680.0838183635897, 680.0838183635897, 680.0838183635897]}}",False
18.jpg,tournant,droit,..\images\18.jpg,"{'est_escalier': True, 'masque_escalier': array([[  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0],
       ...,
       [255, 255, 255, ..., 255, 255, 255],
       [  0,   0,   0, ...,   0,   0,   0],
       [  0,   0,   0, ...,   0,   0,   0]], dtype=uint8), 'image_classification': array([[[  3,  10,   0],
        [  4,  11,   0],
        [  6,  11,   2],
        ...,
        [137, 141, 176],
        [130, 134, 169],
        [102, 106, 141]],

       [[  3,  10,   0],
        [  4,  11,   0],
        [  7,  12,   3],
        ...,
        [138, 142, 177],
        [134, 138, 173],
        [109, 113, 148]],

       [[  4,  11,   0],
        [  5,  12,   0],
        [  7,  12,   3],
        ...,
        [138, 142, 177],
        [136, 140, 175],
        [117, 121, 156]],

       ...,

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]],

       [[  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0],
        ...,
        [  0, 255,   0],
        [  0, 255,   0],
        [  0, 255,   0]]], dtype=uint8), 'type_escalier': 'droit', 'metriques': {'ecart_type_angles': 1.5718985695822816, 'variation_centres': 0.05307345873769119, 'angles': [-6.0013583628371805, -6.0013583628371805, -7.996992027031111, -5.994401278542176, -5.9852127362720395, -6.009005957494525, -10.969902166257253, -7.9966151466422835, -5.996030110662382, -5.974768264226308], 'longueurs': [1960.746031489035, 1960.746031489035, 1947.9430176470769, 1848.1052459208051, 1764.6192223819846, 1757.6575320579377, 1718.3998370577203, 1638.9365454464673, 1617.8510438232563, 1489.088983237738]}}",False
